Transaction Type,Project Name,Status,Order Creation Date,Order Number,Process Group,ABT_Sch_Compl_Date,ABT_Act_Compl_Date,BD_Act_Compl_Date,Order Actual Sales No Freight,Order Est Weight Tons,Order Eng Manifest Total Tons,Order Actual Shipped Tons,Budget Hours,Actual Hours,Engineering Amt,Order Est Margin No Freight,Order Est Margin % No Freight,Order Actual Margin,Order Actual Margin %,Complexity,ECK_Date,ECK_Lead_Wks,Division,Region
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - LONDON, KY",CLOSED,2016-01-29,1600216401,IN,2016-04-08,2016-04-08,2016-06-16,67982.51,25.481,25.329457775,25.329457775,93.6,108.3,12133.88,10337.83,15.21,9477.37,13.25,Simple (<=100),2016-04-26,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - LONGVIEW, TX",CLOSED,2015-11-30,1502189301,IN,2016-02-09,2016-02-09,2016-02-25,63651.19,25.2705,26.569456025,26.569456025,91.5,106.5,11856,7718.83,12.13,5516.15,7.78,Simple (<=100),2016-02-24,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - MARQUEZ, TX",CLOSED,2016-02-03,1600290201,MEM,,,2016-05-05,62855.43,24.1575,25.798184865,25.798184865,91.5,116.8,12768,8594.22,13.67,-3940.32,-5.5,Simple (<=100),2016-05-04,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - MORRISTON, FL",CLOSED,2015-02-18,1500284501,IN,2015-04-10,2015-04-10,2015-05-03,70454.74,28.892,27.005042615,27.005042615,120.1,117.9,14727.38,10386.82,14.74,12983.18,16.47,Moderate (100-200),2015-04-30,,VP,VDI
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - NEW BEDFORD MA,CLOSED,2017-03-29,1700861501,IN,2017-06-09,2017-06-09,2017-06-21,83955.65,36.6745,32.54553561,32.54553561,92.21,117.75,12597.41,11300.16,13.46,13677.81,15.31,Simple (<=100),2017-06-20,,VP,VDI
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - NORWAY, MI",CLOSED,2014-05-15,1400943801,IN,,,2014-11-10,94743.84,35.946,35.675043415,35.675043415,120.1,118.55,12163.5,20152.72,21.27,7715.2,7.86,Moderate (100-200),2014-11-07,,VP,VDI
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - NORWICH, CT",CLOSED,2016-05-21,1601199101,IN,2016-08-02,2016-08-02,2016-08-19,76977.17,30.9045,30.628096085,30.628096085,96.5,148.05,13597.2,8940,11.61,10059.89,12.07,Simple (<=100),2016-08-18,,VP,VNO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - OLIVE HILL KY,CLOSED,2014-10-24,1402083601,IN,2015-04-21,2015-04-21,2015-05-11,87911.01,25.3075,25.458427215,25.458427215,93.6,132.9,11578.13,13669.35,15.55,13302.68,14.51,Simple (<=100),2015-05-07,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - PAHRUMP, NV BV",CLOSED,2016-07-15,1601670601,IN,,,2016-09-06,74433.59,27.2655,26.262092805,26.262092805,91.5,134.45,13997.12,10380.14,13.95,9337.95,12.16,Simple (<=100),2016-09-02,,VP,VDI
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - PAHRUMP, NV CP",CLOSED,2016-07-15,1601670801,IN,,,2016-09-16,74433.57,27.2655,27.423085805,27.423085805,91.5,47.85,13997.12,10380.14,13.95,12233.71,15.94,Simple (<=100),2016-09-14,,VP,VDI
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - PITTSBURGH - E,CLOSED,2016-07-22,1601727901,IN,,,2016-09-27,91012.62,36.1185,36.06712196,36.06712196,135,146.35,16196.67,12703.71,13.96,13132.32,13.96,Moderate (100-200),2016-09-23,,VP,VDI
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - PITTSBURGH PA,CLOSED,2016-10-06,1602332801,IN,,,2016-12-09,85323.15,33.9805,35.586817655,35.586817655,172.39,159,23895.08,12186.34,14.28,14530.14,16.28,Moderate (100-200),2016-12-07,,VP,VDI
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - PORT ARTHUR, T",CLOSED,2015-11-16,1502110801,IN,2016-02-02,,2016-02-25,62585.42,26.761,27.321342695,27.321342695,90,121.9,11670.75,7641.05,12.21,5259.22,7.27,Simple (<=100),2016-02-16,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - ROSEVILLE, OH",CLOSED,2016-06-16,1601440701,MEM,,,2016-08-12,74745.94,24.3625,26.580002415,26.580002415,91.5,129.95,17896.32,9760.14,13.06,10223.26,12.86,Simple (<=100),2016-08-11,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - SAN ANT., TX (",CLOSED,2014-10-07,1401950401,IN,2015-01-05,2015-01-05,2015-03-10,68535.25,25.932,25.85316379,25.85316379,117.1,123.15,14449.5,9104.06,13.28,8285.55,11,Moderate (100-200),2015-01-29,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - SAN ANTONIO, T",CLOSED,2015-03-07,1500393601,IN,2015-06-02,2015-06-02,2015-06-29,75385.47,26.2815,26.30811091,26.30811091,155.6,143.55,20515.51,10996.36,14.59,13908.4,16.37,Moderate (100-200),2015-06-26,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - SAN ANTONIO, T",CLOSED,2015-11-18,1502123101,IN,2016-02-22,,2016-03-17,65891.63,26.4345,26.5492786,26.5492786,91.5,22,11856,9956.96,15.11,13378.33,17.73,Simple (<=100),2016-03-16,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - SAWYER MI,CLOSED,2015-04-27,1500608801,IN,2016-03-30,2016-03-30,2016-06-17,75432,28.427,28.19937529,28.19937529,90.5,127.13,12226.5,12703.77,16.84,9614.63,12.41,Simple (<=100),2016-04-13,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - SHELBIANA, KY",CLOSED,2016-05-16,1601149001,IN,,,2016-12-28,79693.07,25.131,25.368176415,25.368176415,89.5,134.75,12497.43,14656,18.39,13810.2,16.34,Simple (<=100),2016-12-20,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - SPRINGFIELD MA,CLOSED,2018-04-16,1802844001,IN,2018-07-24,2018-07-23,2018-08-13,87473.31,34.8245,38.28619448,38.28619448,117.27,178.26,16196.67,13036.17,14.9,-3950.58,-4.38,Moderate (100-200),2018-08-11,,VP,VDI
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - SUFFOLK, VA",CLOSED,2017-03-27,1700839101,IN,2017-06-21,2017-06-21,2017-07-06,74568.05,28.2465,27.81252172,27.81252172,86.19,94.65,11797.57,10560.48,14.16,8685.28,11.23,Simple (<=100),2017-07-02,,VP,VDI
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - TARRANT, AL",CLOSED,2015-06-30,1501147701,IN,2015-07-29,2015-07-29,2015-08-12,66678.51,28.5215,27.531479925,27.531479925,90.5,100.25,11763.38,9567.99,14.35,8951.82,12.59,Simple (<=100),2015-08-07,,VP,VDI
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - THOREAU,CLOSED,2015-06-05,1500987601,IN,2015-07-06,2015-07-07,2015-07-27,76018,28.5625,31.290310035,31.290310035,108,149.5,14727.38,8749.87,11.51,3335.78,4.12,Moderate (100-200),2015-07-23,,VP,VDI
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - TYLER, TX",CLOSED,2015-12-01,1502199201,IN,2016-02-26,,2016-03-15,63648.68,26.541,26.972956025,26.972956025,91.5,21.5,11856,7721.61,12.13,10418.56,14.53,Simple (<=100),2016-03-14,,VP,VSO
